wafer_id,n_dies,n_pos,AP_A,AP_B,delta_AP,AUC_A,AUC_B,delta_AUC,F1_A,F1_B,delta_F1
W_F_0037,377,24,0.6538006361640213,0.6552424745012843,0.0014418383372629684,0.8668555240793201,0.8637865911237016,-0.0030689329556184974,0.5517241379310345,0.6,0.0482758620689655
W_F_0038,1886,90,0.5762748034998189,0.6670036156672581,0.09072881216743922,0.8639321950012372,0.9092984409799555,0.0453662459787183,0.5857142857142857,0.6211180124223602,0.03540372670807446
W_F_0039,988,174,0.6861136189200991,0.7781172815056835,0.09200366258558434,0.8393346324380806,0.8969118020842157,0.05757716964613513,0.5947521865889213,0.6951566951566952,0.10040450856777394
W_F_0040,473,4,0.6935975609756098,0.5717789404839764,-0.12181862049163339,0.914179104477612,0.849680170575693,-0.06449893390191896,0.6666666666666666,0.6666666666666666,0.0
W_F_0041,2664,20,0.48466334067324085,0.5479499094048826,0.06328656873164179,0.9238086232980331,0.9405446293494706,0.016736006051437435,0.5714285714285714,0.5714285714285714,0.0
W_F_0042,827,7,0.46466449066397114,0.5282418249802643,0.06357733431629314,0.8090592334494773,0.8695121951219512,0.06045296167247394,0.6,0.6,0.0
W_F_0043,1167,74,0.5603024068489462,0.6254642545671245,0.06516184771817835,0.8797260206226354,0.9163967260948048,0.03667070547216944,0.45098039215686275,0.512,0.06101960784313726
W_F_0044,406,14,0.5853738933084348,0.5827338049844443,-0.0026400883239905415,0.8522230320699709,0.8879373177842566,0.0357142857142857,0.6,0.6666666666666666,0.06666666666666665
W_F_0045,3316,264,0.6116294713112724,0.6863675652434478,0.07473809393217534,0.8615711505619762,0.9067402398824417,0.04516908932046548,0.5773195876288659,0.6096491228070176,0.032329535178151625
W_F_0046,976,8,0.2201266843956814,0.19515037188278478,-0.024976312512896615,0.6455320247933884,0.8677685950413225,0.22223657024793408,0.2222222222222222,0.2222222222222222,0.0
W_F_0048,1516,5,0.43986738423870403,0.6066773235898607,0.16680993935115668,0.7921906022501655,0.8852415618795499,0.09305095962938448,0.5714285714285714,0.5714285714285714,0.0
W_F_0049,1417,225,0.6915712664687887,0.7686438745934794,0.07707260812469063,0.8752050708426548,0.9101155853840417,0.03491051454138694,0.5783783783783784,0.645933014354067,0.06755463597568867
W_N_0000,725,35,0.4902953605235943,0.6009893538726887,0.11069399334909441,0.8014906832298136,0.8844306418219462,0.08293995859213255,0.4827586206896552,0.5714285714285714,0.0886699507389162
W_N_0001,740,16,0.3697881332113114,0.47756727317517567,0.10777913996386429,0.7922997237569059,0.8875172651933702,0.09521754143646421,0.45454545454545453,0.5217391304347826,0.06719367588932806
W_N_0003,638,4,0.7844827586206897,0.8333333333333333,0.048850574712643535,0.9901419558359622,0.9968454258675079,0.0067034700315457,0.8571428571428571,0.8571428571428571,0.0
W_N_0004,513,12,0.6064644862570613,0.6782596247619184,0.07179513850485708,0.9389554224883566,0.9634065202927478,0.024451097804391142,0.5,0.5882352941176471,0.08823529411764708
W_N_0005,1281,26,0.3112924810341296,0.37487914745423323,0.06358666642010363,0.8057615691081826,0.8721728470732455,0.06641127796506285,0.375,0.375,0.0
W_N_0007,1440,0,,,,,,,,,
W_N_0008,732,3,0.35011138958507376,0.36583719135802467,0.01572580177295091,0.9085505258344764,0.9314128943758573,0.022862368541380906,0.5,0.5,0.0
W_N_0009,527,4,0.2912221793800741,0.5467592592592593,0.25553707987918517,0.8675908221797324,0.9421606118546846,0.0745697896749522,0.4,0.4,0.0
W_N_0011,400,14,0.45131416717207995,0.5192902781676726,0.06797611099559264,0.8266099185788305,0.8952627683197633,0.06865284974093278,0.3157894736842105,0.34782608695652173,0.03203661327231122
W_N_0013,1003,4,0.26405343326885883,0.25998505462791177,-0.004068378640947057,0.7202202202202201,0.8315815815815816,0.11136136136136143,0.4,0.4,0.0
W_N_0014,457,3,0.43331076506431954,0.6715686274509803,0.2382578623866608,0.8436123348017621,0.8524229074889867,0.008810572687224627,0.5,0.8,0.30000000000000004
W_N_0017,1406,54,0.5803760585332426,0.6447898964621712,0.06441383792892863,0.8869165023011177,0.9321307253999562,0.04521422309883849,0.5822784810126582,0.5952380952380952,0.01295961422543701
W_N_0020,696,6,0.5411861754856532,0.5929779158040027,0.051791740318349544,0.9434782608695651,0.9833333333333334,0.03985507246376829,0.6666666666666666,0.6666666666666666,0.0
W_N_0021,681,32,0.6152913619838231,0.6776274354101298,0.06233607342630676,0.8697996918335902,0.9187692604006163,0.04896956856702617,0.64,0.6545454545454545,0.014545454545454528
W_N_0022,537,6,0.37708742430131736,0.4047020976555614,0.027614673354244057,0.9058380414312618,0.9375392341494035,0.03170119271814176,0.5,0.5,0.0
W_N_0026,1049,20,0.4290155573668998,0.47589937296334034,0.04688381559644056,0.8814382896015549,0.9221574344023323,0.04071914480077743,0.5185185185185185,0.4827586206896552,-0.035759897828863296
W_N_0027,559,0,,,,,,,,,
W_N_0028,1026,49,0.5986709436179333,0.647325844669088,0.048654901051154775,0.8794101059052075,0.8923610385812462,0.01295093267603864,0.5797101449275363,0.5974025974025974,0.017692452475061127
W_N_0029,457,6,0.4643176750557438,0.4459918026949491,-0.018325872360794693,0.8377679231337767,0.9124168514412416,0.07464892830746495,0.5,0.5,0.0
W_N_0030,1185,61,0.5066351340176894,0.5773526272818266,0.07071749326413712,0.8503733737821597,0.9045417420220524,0.054168368239892684,0.4634146341463415,0.5217391304347826,0.05832449628844111
W_N_0031,468,28,0.4514607659718031,0.5878791199309236,0.13641835395912044,0.8478084415584416,0.9020292207792208,0.05422077922077917,0.3684210526315789,0.4897959183673469,0.121374865735768
W_N_0032,699,56,0.618570978488376,0.6661302435098531,0.047559265021477004,0.8936347478338147,0.9158520328815818,0.0222172850477671,0.5176470588235295,0.6095238095238096,0.09187675070028012
W_N_0033,459,0,,,,,,,,,
W_N_0034,471,0,,,,,,,,,
W_N_0035,1039,13,0.48804213002539726,0.5248081755418034,0.03676604551640611,0.8307842255210676,0.9062078272604588,0.07542360173939122,0.631578947368421,0.631578947368421,0.0
W_N_0036,389,16,0.6843053324320052,0.7095684486999206,0.025263116267915442,0.8848860589812333,0.9115281501340483,0.026642091152815017,0.5714285714285714,0.6666666666666666,0.09523809523809523
W_N_0037,457,47,0.5572477094373427,0.6053227988687022,0.04807508943135952,0.8253762324857291,0.852776336274001,0.027400103788271846,0.4810126582278481,0.5060240963855421,0.02501143815769402
W_N_0039,1197,72,0.624561351333299,0.7099446222262639,0.08538327089296482,0.857679012345679,0.9005308641975308,0.04285185185185181,0.5825242718446602,0.6779661016949152,0.09544182985025507
W_N_0040,1364,22,0.45948782438420904,0.5887410866165106,0.12925326223230155,0.8401639344262295,0.9160344126812086,0.07587047825497906,0.4827586206896552,0.5161290322580645,0.03337041156840931
W_N_0041,671,19,0.3916444617318282,0.4926422348389494,0.10099777310712121,0.8271714562479819,0.8971585405230869,0.06998708427510492,0.48,0.48,0.0
W_N_0042,1340,61,0.46403117042102504,0.5497754778502849,0.08574430742925987,0.810661505530704,0.8953844576321153,0.08472295210141123,0.43902439024390244,0.5161290322580645,0.07710464201416206
W_N_0043,393,22,0.4491384540335658,0.5181179936376152,0.06897953960404946,0.7799558931634404,0.8548149963244303,0.07485910316098987,0.43243243243243246,0.47058823529411764,0.038155802861685184
W_N_0044,1014,23,0.4175888254553767,0.48442763229770835,0.06683880684233168,0.8784714605361295,0.9076909577501864,0.029219497214056922,0.41379310344827586,0.4,-0.013793103448275834
W_N_0045,1377,53,0.5700073819216762,0.6465203668056547,0.07651298488397851,0.8876189933306732,0.9226757111098444,0.03505671777917119,0.56,0.6352941176470588,0.07529411764705873
W_N_0046,686,8,0.549719416386083,0.6538297013290076,0.10411028494292462,0.931047197640118,0.9625737463126843,0.031526548672566324,0.5454545454545454,0.6666666666666666,0.12121212121212122
W_N_0047,454,10,0.5712332441021685,0.6911922493091324,0.1199590052069639,0.9060810810810811,0.959009009009009,0.05292792792792789,0.46153846153846156,0.46153846153846156,0.0
W_N_0048,398,30,0.5705959768039841,0.664839941520275,0.09424396471629093,0.8824275362318841,0.9030797101449275,0.020652173913043415,0.4090909090909091,0.6428571428571429,0.2337662337662338
W_N_0049,1216,8,0.8178475935828877,0.8321227741330834,0.01427518055019572,0.9807533112582781,0.9602649006622517,-0.020488410596026463,0.8571428571428571,0.8,-0.05714285714285705
W_N_0050,1155,33,0.4335662099206086,0.5390260262072345,0.10545981628662587,0.87208988278507,0.8907524442283801,0.018662561443310022,0.35,0.35,0.0
W_N_0051,444,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,-0.33333333333333337
W_N_0052,1189,15,0.4509022333840342,0.5210609573307362,0.07015872394670203,0.841396933560477,0.9291311754684838,0.08773424190800683,0.5714285714285714,0.5714285714285714,0.0
W_N_0053,440,37,0.64764683976321,0.6858503272077511,0.03820348744454105,0.8629870565354437,0.9036281939507746,0.04064113741533093,0.5,0.5714285714285714,0.0714285714285714
W_N_0054,1383,68,0.5186937849721943,0.6026827295385438,0.08398894456634953,0.8353723999105346,0.8888280026839633,0.053455602773428756,0.5,0.5565217391304348,0.05652173913043479
W_N_0055,1083,17,0.5217202204276159,0.5185290924361116,-0.003191127991504339,0.8389802450060699,0.874020527535592,0.03504028252952207,0.5217391304347826,0.5,-0.021739130434782594
W_N_0056,1104,79,0.5423761907881436,0.5753758049476781,0.03299961415953456,0.8124606359987651,0.8408644643408459,0.028403828342080883,0.5225225225225225,0.5263157894736842,0.003793266951161667
W_N_0057,1433,58,0.5840166021523934,0.6247173859526061,0.04070078380021269,0.8658307210031347,0.9151473354231975,0.04931661442006274,0.5842696629213483,0.58,-0.004269662921348338
W_N_0058,688,30,0.4731342180972052,0.547266534660905,0.07413231656369984,0.8401215805471124,0.9089665653495441,0.06884498480243173,0.5365853658536586,0.5531914893617021,0.01660612350804358
W_N_0059,1003,14,0.3924230529062211,0.41762337584033216,0.025200322934111063,0.78159757330637,0.8785208724541383,0.09692329914776832,0.5263157894736842,0.5,-0.02631578947368418
W_N_0060,1257,2,0.5125,0.6428571428571428,0.13035714285714284,0.9689243027888446,0.99800796812749,0.02908366533864548,0.6666666666666666,0.6666666666666666,0.0
W_N_0061,737,51,0.554244623369141,0.6336768795264404,0.07943225615729932,0.8522837706511176,0.8560281255359287,0.003744354884811063,0.5217391304347826,0.6265060240963856,0.10476689366160297
W_N_0062,628,23,0.5115637796707789,0.5694819327575691,0.05791815308679016,0.8577793747754222,0.8886812791951132,0.030901904419690984,0.5454545454545454,0.6,0.054545454545454564
W_N_0063,387,26,0.6042782670171358,0.6685919185837179,0.06431365156658209,0.8486043042829746,0.9030470914127424,0.0544427871297678,0.5641025641025641,0.5365853658536586,-0.027517198248905528
W_N_0064,1435,54,0.49225782156895054,0.5653252565206494,0.07306743495169882,0.8148416338133934,0.905221659023252,0.09038002520985866,0.4931506849315068,0.5135135135135135,0.020362828582006665
W_N_0065,695,14,0.21120835195344626,0.30084404429826345,0.08963569234481719,0.7749108453954269,0.8638556744283616,0.08894482903293477,0.25,0.3333333333333333,0.08333333333333331
W_N_0067,1173,10,0.22899138627536827,0.26454720535488113,0.03555581907951286,0.7405846947549442,0.9043852106620809,0.16380051590713673,0.3333333333333333,0.2857142857142857,-0.047619047619047616
W_N_0069,815,42,0.5317153611490493,0.6293529656036465,0.09763760445459724,0.8279430789133247,0.8790426908150064,0.05109961190168166,0.5517241379310345,0.5714285714285714,0.019704433497536922
W_N_0070,661,10,0.5624005992747084,0.6013004971598523,0.03889989788514392,0.8807987711213519,0.8400921658986176,-0.04070660522273428,0.6666666666666666,0.625,-0.04166666666666663
W_N_0071,401,5,0.5823717948717948,0.6525233044037286,0.07015150953193383,0.9722222222222222,0.9035353535353536,-0.06868686868686857,0.5714285714285714,0.5714285714285714,0.0
W_N_0072,1274,8,0.40538234692354164,0.3745742708265329,-0.030808076097008752,0.9075829383886256,0.8616706161137441,-0.04591232227488151,0.4,0.4,0.0
W_N_0074,982,99,0.6062953064851493,0.6862733147387637,0.07997800825361445,0.8392303556516467,0.8776668153791597,0.03843645972751297,0.5609756097560976,0.6163522012578616,0.055376591501763994
W_N_0075,404,1,0.003424657534246575,0.0038314176245210726,0.00040676009027449745,0.2779156327543424,0.3548387096774194,0.07692307692307698,0.0,0.0,0.0
W_N_0078,827,22,0.6267754641881671,0.7054646594651209,0.07868919527695384,0.8886504799548278,0.962394127611519,0.07374364765669117,0.6666666666666666,0.6842105263157895,0.01754385964912286
W_N_0079,561,6,0.5248412192183353,0.5223980147611363,-0.002443204457198922,0.890990990990991,0.8996996996996998,0.008708708708708768,0.6666666666666666,0.6666666666666666,0.0
W_N_0080,667,5,0.41361450588050325,0.4397386904950516,0.02612418461454835,0.8441087613293051,0.856797583081571,0.012688821752265822,0.5714285714285714,0.5714285714285714,0.0
W_N_0081,1379,128,0.692786509300659,0.776974018043466,0.084187508742807,0.9088604116706634,0.936076139088729,0.02721572741806555,0.5792349726775956,0.6824644549763034,0.10322948229870776
W_N_0082,1388,79,0.5292006043463247,0.6033654634641857,0.07416485911786108,0.8464283296747929,0.8683989130750115,0.021970583400218624,0.49056603773584906,0.5565217391304348,0.06595570139458573
W_N_0083,1412,185,0.6609842384002244,0.7355071132587211,0.07452287485849673,0.8743937091125356,0.9040507500165201,0.029657040903984577,0.5409252669039146,0.645367412140575,0.1044421452366604
W_N_0084,461,12,0.5935537100994178,0.7294211672736108,0.13586745717419302,0.929101707498144,0.950445434298441,0.021343726800296947,0.5,0.5555555555555556,0.05555555555555558
